ID;V1;V2;V3;V4;V5;V6;V7;V8;Has_FICO;FICO_Score;Business_channel;Expected_loss;Expected_profit;Loan_amount;Monthly_income;Age;Gearing_coefficient;Max_gearing_ratio;Days_late;Default_45;Status
250263;1;1;11;5;6;7;1;2;0;;1;1,435706588;1,383512506;1,43851768;-0,259084692;1,781039908;0,860269058;0,513979799;1;0;Middle
250290;1;2;6;4;5;1;1;2;1;1,498182593;1;0,206570262;0,190152472;0,204811412;0,383311855;1,107162653;-0,71824919;1,796590249;0;0;Good
250249;2;3;11;5;7;7;1;2;1;-0,241730639;1;-0,84697516;-0,832727557;-0,852651104;-0,732429516;1,406663655;1,122929726;-0,768630652;0;0;Good
249516;3;3;10;4;2;4;1;2;0;;1;-0,671384257;-0,662247553;-0,676407351;-0,057349636;0,957412152;-1,702481712;0,513979799;168;1;Bad
249827;1;3;5;2;4;4;1;3;0;;1;-0,407997901;-0,406527545;-0,412041722;-0,574647908;-0,390342357;0,910076672;-0,768630652;0;0;Good
250329;1;3;11;2;5;4;3;4;0;;2;0,564183971;0,639807787;0,557298917;-0,210623198;-0,390342357;-0,384495602;0,513979799;0;0;Good
250196;2;4;11;5;7;7;3;1;1;0,590942122;1;-0,84697516;-0,832727557;-0,852651104;-0,674951931;1,256913154;-0,789554963;-0,768630652;0;0;Good
250358;1;3;12;3;3;5;1;3;0;;2;-0,457973774;-0,412019519;-0,464914848;-0,580282966;-0,465217607;0,503527339;-0,768630652;0;0;Good
250375;2;5;11;5;1;7;1;1;0;;1;0,030979358;0,019672467;0,028567659;-0,709889287;1,406663655;1,062266606;-0,768630652;336;1;Bad
250415;3;3;14;1;4;4;3;1;0;;1;-0,232406997;-0,23604754;-0,23579797;-0,766239861;-0,315467106;1,023953056;-0,768630652;0;0;Good
250334;1;3;15;4;3;4;1;3;0;;1;2,138070203;2,065432526;2,14349269;-0,048333544;-0,315467106;1,094407417;0,513979799;349;1;Bad
250321;1;4;15;2;2;4;1;2;0;;1;-0,056816094;-0,065567535;-0,059554217;-0,672697908;-0,015966104;0,896241224;-0,768630652;0;0;Good
250033;3;3;3;4;2;4;3;1;0;;2;-0,316986499;-0,26693989;-0,323919846;-0,015650211;-1,438595864;-1,473451826;0,513979799;0;0;Good
250018;1;5;11;5;7;7;1;2;1;1,199911753;3;-1,014043795;-1,01909996;-1,003339512;-0,883449055;1,781039908;-0,998150956;-0,768630652;0;0;Good
250310;1;1;12;4;6;1;1;3;1;-0,279014494;1;-0,390438811;-0,389479545;-0,394417347;-0,262465727;-0,390342357;1,082487646;-0,768630652;0;0;Good
250470;1;3;12;2;6;1;1;3;1;-1,397530143;1;-0,84697516;-0,832727557;-0,852651104;-0,64452262;0,208659647;1,071844993;-0,768630652;15;0;Middle
250370;1;3;15;1;2;4;1;2;0;;1;0,030979358;0,019672467;0,028567659;-0,63663354;-1,139094862;0,920719325;-0,768630652;15;0;Middle
250420;1;3;11;5;6;7;1;2;0;;1;-0,320202449;-0,321287543;-0,323919846;-0,602823195;1,406663655;0,416257587;-0,768630652;0;0;Good
250523;2;4;11;5;7;7;1;1;0;;1;0,030979358;0,019672467;0,028567659;-0,488995035;1,182037904;1,014374669;-0,768630652;0;0;Good
250512;1;1;12;2;1;1;3;2;1;-0,85070027;1;-0,671384257;-0,662247553;-0,676407351;-0,396580093;0,508160649;-0,077561498;-0,768630652;594;1;Bad
250566;1;4;10;5;7;7;1;2;1;1,523038496;1;-0,144611545;-0,150807538;-0,147676093;-0,260211704;0,957412152;1,059499516;0,513979799;15;0;Middle
250479;4;4;11;5;5;7;1;1;1;-0,403294011;1;1,084524781;1,042552497;1,086030175;-0,0832709;0,208659647;-0,344479228;0,513979799;319;1;Bad
250546;3;1;11;4;2;1;3;1;0;;1;0,821138425;0,786832489;0,821664546;0,042954386;-1,213970112;-0,71824919;0,513979799;0;0;Good
